statistique, valeur
Quantile 10\%, 11.68M\euro
Quantile 25\%, 15.60M\euro
M\'ediane, 20.38M\euro
Quantile 75\%, 24.92M\euro
Quantile 90\%, 24.5M\euro
Quantile 95\%, 32.2M\euro
Moyenne, 20.44M\euro
Ecart-type, 6.83 M\euro
