statistique, valeur
Quantile 10\%, 1.28M\euro
Quantile 25\%, 2.35M\euro
M\'ediane, 3.62M\euro
Quantile 75\%, 5.02M\euro
Quantile 90\%, 6.00M\euro
Quantile 95\%, 6.36M\euro
Moyenne, 3.64M\euro
Ecart-type, 1.73 M\euro
