statistique, valeur
Quantile 10\%, 1.56M\euro
Quantile 25\%, 2.72M\euro
M\'ediane, 4.03M\euro
Quantile 75\%, 5.46M\euro
Quantile 90\%, 6.34M\euro
Quantile 95\%, 6.65M\euro
Moyenne, 4.00M\euro
Ecart-type, 1.76 M\euro
